No,Title,Type,BodyPart,Equipment,Level,Rating
8,Barbell roll-out,Strength,Waist,Barbell,Intermediate,8.9
9,Barbell Ab Rollout - On Knees,Strength,Waist,Barbell,Intermediate,8.9
10,Decline bar press sit-up,Strength,Waist,Barbell,Intermediate,8.5
11,Bench barbell roll-out,Strength,Waist,Barbell,Beginner,8.3
12,Barbell Side Bend,Strength,Waist,Barbell,Beginner,7.0
13,Seated bar twist,Strength,Waist,Barbell,Intermediate,4.7
20,Advanced Kettlebell Windmill,Strength,Waist,Kettlebells,Beginner,8.3
21,Kettlebell Windmill,Strength,Waist,Kettlebells,Intermediate,7.7
22,Kettlebell Pass Between The Legs,Strength,Waist,Kettlebells,Beginner,7.3
39,Dumbbell V-Sit Cross Jab,Strength,Waist,Dumbbell,Intermediate,9.3
41,Dumbbell side bend,Strength,Waist,Dumbbell,Intermediate,8.6
88,Landmine twist,Strength,Waist,Other,Intermediate,9.5
89,Suspended ab fall-out,Strength,Waist,Other,Intermediate,9.3
90,Decline reverse crunch,Strength,Waist,Other,Intermediate,9.2
91,Plate Twist,Strength,Waist,Other,Beginner,9.0
92,Weighted Crunches,Strength,Waist,Other,Intermediate,8.9
93,Ab Roller,Strength,Waist,Other,Intermediate,8.9
94,Otis-Up,Strength,Waist,Other,Intermediate,8.8
95,Captain's chair knee raise,Strength,Waist,Other,Intermediate,8.6
97,Decline bar press sit-up,Strength,Waist,Barbell,Intermediate,8.5
98,Pallof press,Strength,Waist,Other,Intermediate,8.4
99,Weighted Sit-Ups - With Bands,Strength,Waist,Other,Intermediate,8.0
150,Standing cable low-to-high twist,Strength,Waist,Cable,Intermediate,9.3
151,Single-arm high-cable side bend,Strength,Waist,Cable,Intermediate,9.1
152,Kneeling cable oblique crunch,Strength,Waist,Cable,Intermediate,9.0
153,Kneeling cable crunch,Strength,Waist,Cable,Intermediate,8.9
154,Rope Crunch,Strength,Waist,Cable,Intermediate,8.6
155,Standing cable crunch,Strength,Waist,Cable,Intermediate,8.6
156,Bosu Ball Cable Crunch With Side Bends,Strength,Waist,Cable,Beginner,8.5
157,Standing Cable Wood Chop,Strength,Waist,Cable,Intermediate,8.2
158,Cable reverse crunch,Strength,Waist,Cable,Beginner,8.2
159,Cable Russian Twists,Strength,Waist,Cable,Beginner,8.1
160,Pallof press with rotation,Strength,Waist,Cable,Intermediate,7.9
161,Cable Seated Crunch,Strength,Waist,Cable,Beginner,7.7
162,Cable Judo Flip,Strength,Waist,Cable,Beginner,5.0
180,Ab Crunch Machine,Strength,Waist,Machine,Intermediate,8.0
181,Smith machine straight-legged hip raise,Strength,Waist,Machine,Intermediate,8.0
185,Elbow plank,Strength,Waist,Body Only,Intermediate,9.3
186,Bottoms Up,Strength,Waist,Body Only,Intermediate,9.3
187,Spider crawl,Strength,Waist,Body Only,Intermediate,9.2
188,Cocoons,Strength,Waist,Body Only,Intermediate,9.1
189,Cross-Body Crunch,Strength,Waist,Body Only,Intermediate,9.1
190,Elbow-to-knee crunch,Strength,Waist,Body Only,Intermediate,9.1
191,Decline Crunch,Strength,Waist,Body Only,Intermediate,9.0
192,Hanging toes-to-bar,Strength,Waist,Body Only,Intermediate,9.0
193,Hanging Oblique Knee Raise,Strength,Waist,Body Only,Intermediate,9.0
194,Gorilla Chin/Crunch,Strength,Waist,Body Only,Beginner,9.0
195,Hanging leg raise,Strength,Waist,Body Only,Intermediate,8.9
197,Ab bicycle,Strength,Waist,Body Only,Intermediate,8.8
198,3/4 sit-up,Strength,Waist,Body Only,Intermediate,8.8
199,Reverse crunch,Strength,Waist,Body Only,Intermediate,8.8
200,Crunches,Strength,Waist,Body Only,Intermediate,8.7
201,Dead bug reach,Strength,Waist,Body Only,Intermediate,8.6
202,Crunch - Hands Overhead,Strength,Waist,Body Only,Beginner,8.6
203,V-up,Strength,Waist,Body Only,Intermediate,8.5
205,Russian twist,Strength,Waist,Body Only,Intermediate,8.4
206,Flat Bench Lying Leg Raise,Strength,Waist,Body Only,Intermediate,8.4
207,Knees tucked crunch,Strength,Waist,Body Only,Intermediate,8.4
208,Butt-Ups,Strength,Waist,Body Only,Beginner,8.3
209,Feet-elevated oblique crunch,Strength,Waist,Body Only,Intermediate,8.3
210,Bent-knee reverse crunch,Strength,Waist,Body Only,Intermediate,8.1
211,Alternating heel-touch,Strength,Waist,Body Only,Intermediate,8.0
212,Suspended Reverse Crunch,Strength,Waist,Body Only,Intermediate,7.8
213,Lying bench reverse crunch,Strength,Waist,Body Only,Intermediate,7.7
214,Sit-up,Strength,Waist,Body Only,Intermediate,7.5
215,Side Bridge,Strength,Waist,Body Only,Intermediate,7.5
216,Lying oblique crunch,Strength,Waist,Body Only,Intermediate,7.4
217,Janda Sit-Up,Strength,Waist,Body Only,Beginner,7.4
